Complete Game Pass Master List by u/ABattleVet,531,,,,,,Playstation Plus,,,,See suggestions tab for color coding,,The community can add games to cross play/play anywhere,,Public Notes,
Pyre,PC,,Removed,Mar 2021,Aug 2021,5.10,Jul 2017,3.65,82,11,Role-Playing,,,,,"PC, PlayStation 4"
NBA 2K21,Xbox,Yes,Removed,Mar 2021,Aug 2021,5.92,Sep 2020,0.50,74,51,Sports / Basketball,,,,,
Double Kick Heroes,Xbox / PC,Touch Controls,Removed,Aug 2020,Aug 2021,12.13,Aug 2020,0.04,76,3,Shooter / Music/Rhythm,,,,,
Stranger Things 3: The Game,Xbox / PC,Touch Controls,Removed,Apr 2020,Aug 2021,16.80,Jul 2019,0.76,62,9,Action / Adventure,,,,,
Blair Witch,Xbox / PC,Yes,Removed,Aug 2019,Aug 2021,24.07,Aug 2019,0.00,66,5,Adventure,,,,,
Dear Esther: Landmark Edition,PC,,Removed,Mar 2021,Aug 2021,5.10,Feb 2012,9.10,68,2,Adventure,,,,,
Mugsters,PC,,Removed,Mar 2021,Aug 2021,5.10,Jul 2018,2.67,75,15,Action / Puzzle / Platformer,,,,,
Nex Machina,PC,,Removed,Mar 2021,Aug 2021,5.10,Jun 2017,3.75,84,2,Shoot 'Em Up,,,,,
Overcooked: Gourmet Edition,PC,,Removed,Mar 2021,Aug 2021,5.10,Jun 2017,3.75,81,8,Shoot 'Em Up,,,,,
Renowned Explorers: International Society,PC,,Removed,Mar 2021,Aug 2021,5.10,Sep 2015,5.55,72,6,Strategy,,,,,
The Escapists,PC,,Removed,Mar 2021,Aug 2021,5.10,Feb 2015,6.10,71,19,Strategy / Simulation,,,,,
Madden NFL 19,Xbox / PC,,Removed,Nov 2020,Aug 2021,9.30,Aug 2018,2.26,81,13,Sports / Football,,,,,
Yoku's Island Express,PC,,Removed,Aug 2019,Aug 2021,24.20,May 2018,1.21,83,6,Pinball / Platformer,,Removed from Game Pass 8/15/20,,,
Vampyr,PC,,Removed,Mar 2019,Aug 2021,28.80,Jun 2018,0.81,71,17,Action / Role-Playing,,,,,
Don't Starve: Giant Edition,Xbox / PC,Touch Controls,Removed,Aug 2020,Aug 2021,11.84,Sep 2014,5.97,75,36,Simulation,FPS Boost,,,,
Crossing Souls,PC,,Removed,Aug 2020,Aug 2021,11.84,Feb 2018,2.52,70,9,Action-Adventure,,,,,
Final Fantasy VII,Xbox / PC,,Removed,Aug 2020,Aug 2021,12.07,Jan 1997,23.55,92,38,Fantasy / Post-Apocalyptic,,,,,
Darksiders Genesis,Xbox / PC,Yes,Removed,Aug 2020,Aug 2021,12.30,Dec 2019,0.67,77,14,Role-Playing / Action-Adventure,,,,,
Train Sim World 2020,Xbox / PC,Yes,Removed,Mar 2020,Aug 2021,17.36,Jul 2018,1.62,76,13,Simulation,,,,,
Ape Out,PC,,Removed,Aug 2019,Aug 2021,23.80,Feb 2019,0.48,83,3,Action,,,,,
It Lurks Below,Xbox / PC,,Removed,Aug 2020,Jul 2021,11.80,May 2019,1.19,45,8,Action / Role-Playing,,,,,
UnderMine,Xbox / PC,Touch Controls,Removed,Aug 2020,Jul 2021,11.80,Aug 2019,0.96,80,5,Role-Playing / Action-Adventure,,,,,
The Touryst,Xbox / PC,Touch Controls,Removed,Jul 2020,Jul 2021,12.03,Nov 2019,0.69,79,5,Puzzle / Action-Adventure,Optimized,,,,
Endless Space 2: Deluxe Edition,PC,,Removed,Jul 2020,Jul 2021,12.20,May 2017,3.14,80,13,Strategy,,,,,
Downwell,PC,,Removed,Aug 2019,Jul 2021,23.47,Oct 2015,3.80,81,8,Platformer / Shoot 'Em Up,,,,,
CrossCode,Xbox / PC,,Removed,Jun 2019,Jul 2021,25.18,May 2015,4.07,86,32,Role-Playing / Dual-Joystick Shooter / Action-Adventure,Optimized,,,,
EA Sports UFC,Xbox,,Removed,Nov 2020,Jul 2021,8.09,Jun 2014,6.41,70,11,Sports / Fighting,,,,,
EA Sports UFC 2,Xbox,,Removed,Nov 2020,Jul 2021,8.09,Mar 2016,4.66,76,6,Sports / Fighting,,,,,
Out of the Park Baseball 21,PC,,Removed,Jul 2020,Jun 2021,11.97,Mar 2020,0.28,87,34,Strategy / Sports / Simulation / Baseball,,,,,
SoulCalibur VI,Xbox,,Removed,Jul 2020,Jun 2021,11.97,Oct 2018,1.70,84,7,Fighting,,,,,
MISTOVER,PC,,Removed,Apr 2020,Jun 2021,14.70,Oct 2019,0.50,60,34,Strategy / Role-Playing,,,,,
Battle Chasers: Nightwar,Xbox / PC,Yes,Removed,Jun 2019,Jun 2021,24.72,Oct 2017,1.68,84,29,Action / Role-Playing,FPS Boost,,,,
The Messenger,Xbox / PC,Yes,Removed,Jun 2019,Jun 2021,24.72,Aug 2018,0.78,83,11,Action / Platformer / Action-Adventure,,,,,
Monster Hunter: World,Xbox,Yes,Removed,Apr 2019,Jun 2021,26.43,Jan 2018,1.22,90,49,Action / Role-Playing,,,,,
Marvel vs. Capcom: Infinite,Xbox / PC,Yes,Removed,Apr 2019,Jun 2021,26.99,Sep 2017,1.53,77,4,Fighting,,,,,
Observation,Xbox / PC,Yes,Removed,Jun 2020,Jun 2021,11.67,May 2019,1.10,79,6,Action-Adventure,,,,,
West of Dead,Xbox / PC,Yes,Removed,Jun 2020,Jun 2021,11.90,Jun 2020,0.00,71,12,Action / Shooter / Dual-Joystick Shooter,,,,,
Ace Combat 7: Skies Unknown,Xbox,,Removed,Mar 2020,Jun 2021,14.89,Jan 2019,1.18,79,11,Flight Simulator,,,,,
Night Call,Xbox / PC,Yes,Removed,Jul 2019,Jun 2021,22.98,Jul 2019,0.00,68,4,Adventure,,,,,
Wizard of Legend,Xbox / PC,Yes,Removed,Jun 2019,Jun 2021,24.23,May 2018,1.07,79,6,Action / Role-Playing,,,,,
Assetto Corsa,Xbox,Yes,Removed,Dec 2020,May 2021,5.62,Dec 2014,5.98,63,41,Driving/Racing / Simulation,,,,,
Kingdom Hearts HD I.5 + II.5 ReMix,Xbox,,Removed,Jun 2020,May 2021,11.64,Mar 2017,3.26,88,115,Action / Role-Playing / Compilation,,,,,
Kingdom Hearts HD II.8 Final Chapter Prologue,Xbox,,Removed,Jun 2020,May 2021,11.64,Jan 2017,3.38,82,17,Action / Role-Playing / Compilation,,,,,
Broforce,PC,,Removed,Jun 2019,May 2021,23.74,Oct 2015,3.65,83,7,Action / Shooter / Platformer,,,,,
Void Bastards,Xbox / PC,Yes,Removed,May 2019,May 2021,24.10,May 2019,0.00,75,8,Action / Strategy,,,,,
Surviving Mars,Xbox / PC,Yes,Removed,May 2019,May 2021,24.76,Mar 2018,1.15,76,19,Strategy / Simulation,,,,,
Detention,PC,,Removed,Mar 2021,May 2021,2.07,Jan 2017,4.18,83,3,Adventure / Puzzle,,,,,
Battlefleet Gothic: Armada II,PC,,Removed,Jun 2020,May 2021,11.11,Jan 2019,1.38,77,120,Real-Time Strategy,,,,,
Dungeon of the Endless,Xbox / PC,Yes,Removed,Jun 2020,May 2021,11.11,Oct 2014,5.63,79,7,Strategy / Role-Playing,,,,,
Plebby Quest: The Crusades,PC,,Removed,May 2020,May 2021,11.64,Apr 2020,0.13,84,5,Strategy / Role-Playing,,,,,
Alan Wake,Xbox / PC,,Removed,May 2020,May 2021,11.80,May 2010,10.03,83,11,Shooter / Action-Adventure,FPS Boost,,,,Remedy Entertainment bought the IP from Microsoft
Final Fantasy IX,Xbox / PC,,Removed,May 2020,May 2021,12.03,Jul 2000,19.87,85,40,Role-Playing / Card Game,,,,,
Hotline Miami,PC,,Removed,Jun 2019,May 2021,23.21,Oct 2012,6.63,85,5,Action,,,,,
FIFA 15,Xbox / PC,,Removed,Nov 2020,May 2021,5.82,Sep 2014,6.14,82,128,Sports / Soccer,,,,,
FIFA 16,Xbox / PC,,Removed,Nov 2020,May 2021,5.82,Sep 2015,5.14,84,108,Sports / Soccer,,,,,
FIFA 17,Xbox / PC,,Removed,Nov 2020,May 2021,5.82,Sep 2016,4.12,84,52,Sports / Soccer,,,,,
FIFA 18,Xbox / PC,,Removed,Nov 2020,May 2021,5.82,Sep 2017,3.12,83,37,Sports / Soccer,,,,,
NBA LIVE 15,Xbox,,Removed,Nov 2020,May 2021,5.82,Oct 2014,6.04,53,39,Sports / Basketball,,,,,
NBA LIVE 18: The One Edition,Xbox,,Removed,Nov 2020,May 2021,5.82,Sep 2017,3.16,72,158,Sports / Basketball,,,,,
Fractured Minds,Xbox,Yes,Removed,May 2020,Apr 2021,11.38,Nov 2019,0.51,86,1,Adventure,,,,,
Endless Legend,PC,,Removed,May 2020,Apr 2021,11.54,Sep 2014,5.66,82,14,Strategy,,,,,
Levelhead,Xbox / PC,Yes,Removed,Apr 2020,Apr 2021,12.00,Apr 2019,1.04,82,66,Action / Platformer,,,,,
Moving Out,Xbox / PC,Yes,Removed,Apr 2020,Apr 2021,12.07,Apr 2020,0.02,78,4,Action / Simulation,FPS Boost,,,,
Thumper,PC,,Removed,Jun 2019,Apr 2021,22.72,Oct 2016,2.66,86,8,Music/Rhythm,,,,,
For The King,Xbox / PC,Yes,Removed,May 2019,Apr 2021,23.70,Feb 2018,1.20,87,10,Strategy / Role-Playing,,,,,
Bomber Crew,Xbox / PC,,Removed,Jul 2018,Apr 2021,33.70,Oct 2017,0.72,75,17,Strategy,,,,,
Madden NFL 15,Xbox,,Removed,Nov 2020,Apr 2021,5.16,Aug 2014,6.21,80,41,Sports / Football,,,,,
Madden NFL 16,Xbox,,Removed,Nov 2020,Apr 2021,5.16,Aug 2015,5.22,84,43,Sports / Football,,,,,
Madden NFL 17,Xbox,,Removed,Nov 2020,Apr 2021,5.16,Aug 2016,4.22,83,41,Sports / Football,,,,,
Madden NFL 18,Xbox,,Removed,Nov 2020,Apr 2021,5.16,Aug 2017,3.21,82,16,Sports / Football,,,,,
Madden NFL 25,Xbox,,Removed,Nov 2020,Apr 2021,5.16,Aug 2013,7.21,73,45,Sports / Football,,,,,
NHL 18,Xbox,,Removed,Nov 2020,Apr 2021,5.16,Sep 2017,3.16,77,40,Sports / Hockey,,,,,
NHL 19,Xbox,,Removed,Nov 2020,Apr 2021,5.16,Sep 2018,2.16,82,40,Sports / Hockey,,,,,
Deliver Us the Moon,Xbox / PC,Yes,Removed,Apr 2020,Apr 2021,11.74,Oct 2019,0.54,75,5,Action-Adventure,,,,,
Gato Roboto,Xbox / PC,Yes,Removed,Apr 2020,Apr 2021,11.80,May 2019,0.90,79,3,Platformer / Action-Adventure,,,,,
Wargroove,Xbox / PC,,Removed,May 2019,Apr 2021,23.47,Feb 2019,0.25,81,21,Strategy,,,,,
HyperDot,Xbox / PC,Yes,Removed,Apr 2020,Mar 2021,11.01,Jan 2020,0.25,73,2,Action,,,,,
Machinarium,PC,,Removed,Apr 2020,Mar 2021,11.44,Oct 2009,10.51,85,5,Adventure / Puzzle,,,,,PC
Journey to the Savage Planet,Xbox,Yes,Removed,Apr 2020,Mar 2021,11.70,Jan 2020,0.20,76,7,First-Person Shooter / Action-Adventure,,,,,
Apotheon,PC,,Removed,Mar 2021,Mar 2021,0.36,Feb 2015,6.12,78,8,Action / Platformer,,,,,
Mutant Year Zero: Road to Eden,PC,,Removed,Mar 2021,Mar 2021,0.36,Dec 2018,2.29,78,13,Strategy,,,,,
Shift Quantum,PC,,Removed,Mar 2021,Mar 2021,0.36,May 2018,2.81,78,8,Puzzle / Platformer,,,,,
Star Wars Episode I: Racer,PC,,Removed,Mar 2021,Mar 2021,0.36,Apr 1999,21.90,63,6,Driving/Racing,,,,,"PC, Nintendo 64, Dreamcast"
Star Wars Galactic Battlegrounds: Saga,PC,,Removed,Mar 2021,Mar 2021,0.36,Nov 2001,19.36,82,34,Strategy / Simulation / Real-Time Strategy,,,,,PC
Star Wars Jedi Knight: Mysteries of the Sith,PC,,Removed,Mar 2021,Mar 2021,0.36,Feb 1998,23.08,83,9,Action / First-Person Shooter,,,,,PC
Star Wars Rebellion,PC,,Removed,Mar 2021,Mar 2021,0.36,Feb 1998,23.07,87,17,Strategy,,,,,PC
Star Wars Rogue Squadron 3D,PC,,Removed,Mar 2021,Mar 2021,0.36,Dec 1998,22.30,76,9,Action / Shooter,,,,,"Nintendo 64, PC"
Star Wars Shadows of the Empire,PC,,Removed,Mar 2021,Mar 2021,0.36,Dec 1996,24.30,78,5,Action / Adventure / Shooter,,,,,"Nintendo 64, PC"
Star Wars Starfighter,PC,,Removed,Mar 2021,Mar 2021,0.36,Feb 2001,20.08,71,5,Action / Flight Simulator,,,,,"PC, OG Xbox, PlayStation 2"
Star Wars X-Wing Alliance,PC,,Removed,Mar 2021,Mar 2021,0.36,Feb 1999,22.07,83,20,Action / Simulation / Shooter,,,,,PC
Star Wars Dark Forces,PC,,Removed,Mar 2021,Mar 2021,0.36,Feb 1995,26.10,75,9,First-Person Shooter,,,,,PC
Into the Breach,PC,,Removed,Jun 2019,Mar 2021,21.67,Feb 2018,1.28,90,5,Strategy,,,,,
Snake Pass,PC,,Removed,Sep 2018,Mar 2021,30.90,Mar 2017,1.43,74,5,Puzzle / Platformer,,,,,
Hue,PC,,Removed,Sep 2017,Mar 2021,42.90,Aug 2016,1.01,79,5,Platformer,,,,,
Alvastia Chronicles,Xbox / PC,,Removed,Apr 2020,Mar 2021,11.18,Feb 2019,1.16,80,7,Role-Playing,,,,,
Astrologaster,PC,,Removed,Mar 2020,Mar 2021,11.64,May 2019,0.90,74,8,Adventure,,,,,
Kona,Xbox,Yes,Removed,Mar 2020,Mar 2021,11.87,Mar 2016,4.03,71,6,Adventure,,,,,
The Witcher 3: Wild Hunt,Xbox,Yes,Removed,Dec 2019,Mar 2021,14.86,May 2015,4.59,91,51,Role-Playing / Action-Adventure,,,,,
The Jackbox Party Pack 4,Xbox,Yes,Removed,Sep 2020,Feb 2021,5.85,Oct 2017,2.88,84,16,Trivia/Board Game / Minigame Collection,,,,,
Mother Russia Bleeds,PC,,Removed,Mar 2020,Feb 2021,11.87,Sep 2016,3.50,70,4,Brawler,,,,,
Momodora: Reverie Under the Moonlight,Xbox / PC,Yes,Removed,Jun 2019,Feb 2021,20.71,Mar 2016,3.27,77,4,Platformer,,,,,
Shadows of the Damned,Xbox,,Removed,Nov 2020,Feb 2021,3.32,Jun 2011,9.40,76,9,Shooter,,,,,
Ninja Gaiden II,Xbox,,Removed,Feb 2020,Feb 2021,11.87,Jun 2008,11.72,81,14,Action,,,,,Xbox 360
World of Horror (Game Preview),PC,,Removed,Feb 2020,Feb 2021,11.87,Feb 2020,0.00,80,3,Role-Playing,,,,,
de Blob,Xbox,,Removed,Feb 2019,Feb 2021,24.07,Sep 2008,10.40,72,8,Puzzle / Platformer,,,,,Wii
Reigns: Game of Thrones,PC,,Removed,Feb 2020,Jan 2021,11.31,Oct 2018,1.34,84,2,Simulation,,,,,
Death Squared,Xbox,Yes,Removed,Feb 2020,Jan 2021,11.54,Mar 2017,2.92,80,6,Strategy / Puzzle / Platformer,,,,,
Death's Gambit,PC,,Removed,Feb 2020,Jan 2021,11.54,Aug 2018,1.50,71,10,Action / Role-Playing,,,,,
Final Fantasy XV,Xbox / PC,,Removed,Feb 2020,Jan 2021,11.77,Nov 2016,3.19,83,28,Action / Role-Playing / Action-Adventure,,,,,
Fishing Sim World: Pro Tour,Xbox / PC,Yes,Removed,Jan 2020,Jan 2021,12.00,Sep 2018,1.37,70,,Fishing,,,,,
Sea Salt,Xbox / PC,Yes,Removed,Jan 2020,Jan 2021,12.00,Oct 2019,0.29,68,4,Action / Strategy / Action-Adventure,,,,,
Tekken 7,Xbox,,Removed,Jan 2020,Jan 2021,12.00,Mar 2015,4.84,81,4,Fighting,,,,,
Sword Art Online: Fatal Bullet,Xbox,,Removed,Jan 2020,Jan 2021,12.23,Feb 2018,1.92,72,27,Action / Role-Playing / Shooter,,,,,
FTL: Faster Than Light,PC,,Removed,Jan 2020,Jan 2021,12.30,Sep 2012,7.32,84,12,Strategy / Role-Playing,,,,,
Football Manager 2020,PC,,Removed,Apr 2020,Dec 2020,8.68,Nov 2019,0.39,84,580,Sports / Simulation / Soccer,,,,,
Farming Simulator 17,Xbox / PC,Yes,Removed,Jan 2019,Dec 2020,23.90,Oct 2016,2.19,65,37,Simulation,,,,,
Mortal Kombat X,Xbox,Yes,Removed,Dec 2018,Dec 2020,24.79,Apr 2015,3.65,86,6,Fighting,,,,,
Infinifactory,PC,,Removed,Dec 2019,Dec 2020,11.90,Jun 2015,4.47,85,38,Puzzle,,,,,
Untitled Goose Game,Xbox,Yes,Removed,Dec 2019,Dec 2020,11.97,Sep 2019,0.24,81,3,Action,FPS Boost,,,,
Pathologic 2,Xbox / PC,Yes,Removed,Dec 2019,Dec 2020,12.13,May 2019,0.56,67,19,Adventure / Role-Playing,,,,,
Ticket to Ride,Xbox / PC,,Removed,Dec 2019,Dec 2020,12.20,Jun 2008,11.47,70,1,Strategy / Trivia/Board Game,,,,,Xbox 360
Naruto to Boruto: Shinobi Striker,Xbox,,Removed,Dec 2019,Dec 2020,12.36,Aug 2018,1.26,60,7,Fighting,,,,,
Age of Wonders: Planetfall,Xbox / PC,Yes,Removed,Nov 2019,Dec 2020,13.05,Aug 2019,0.27,85,48,Strategy,,,,,
The Turing Test,Xbox / PC,Yes,Removed,Jun 2019,Dec 2020,18.25,Aug 2016,2.81,80,5,Puzzle,,,,,
MudRunner,Xbox / PC,Yes,Removed,Dec 2018,Dec 2020,24.10,Oct 2017,1.12,72,17,Driving/Racing / Simulation,,,,,
Metro: Last Light Redux,PC,,Removed,Sep 2017,Dec 2020,39.48,Aug 2014,3.02,88,10,Adventure,FPS Boost,,,,
eFootball PES 2020,Xbox,,Removed,Dec 2019,Dec 2020,12.00,Sep 2019,0.25,82,6,Soccer,,,,,
Demon's Tilt,Xbox / PC,Yes,Removed,Dec 2019,Dec 2020,11.87,Jan 2019,0.87,70,7,Pinball,,,,,
Faeria,PC,,Removed,Dec 2019,Dec 2020,11.90,Feb 2016,3.77,81,115,Strategy / Card Game,,,,,
Wandersong,Xbox / PC,Yes,Removed,Dec 2019,Dec 2020,11.87,Sep 2018,1.19,82,9,Adventure,,,,,
Absolver,Xbox,Yes,Removed,Jan 2019,Dec 2020,22.95,Aug 2017,1.35,62,6,Action / Role-Playing,,,,,
Hatoful Boyfriend,PC,,Removed,Jun 2019,Dec 2020,17.79,Jul 2011,7.86,68,2,Adventure / Text Adventure,,,,,
Mutant Year Zero: Road to Eden,Xbox / PC,Yes,Removed,Dec 2018,Dec 2020,23.93,Dec 2018,0.00,80,13,Strategy,,,,,
Dead Island: Definitive Edition,Xbox,Yes,Removed,Jul 2017,Dec 2020,41.06,May 2016,1.08,67,21,Adventure,FPS Boost,,,,
Darksiders III,Xbox / PC,Yes,Removed,Nov 2019,Nov 2020,11.87,Nov 2018,0.98,69,14,Action / Role-Playing / Action-Adventure,,,,,
Munchkin: Quacked Quest,Xbox / PC,Yes,Removed,Nov 2019,Nov 2020,11.87,Nov 2019,0.01,40,1,Action,,,,,
Tracks: The Train Set Game,Xbox / PC,Yes,Removed,Nov 2019,Nov 2020,12.07,Sep 2017,2.13,69,1,Simulation,,,,,
The Talos Principle,Xbox / PC,Yes,Removed,Nov 2019,Nov 2020,12.10,Dec 2014,4.93,72,16,Adventure / Puzzle,,,,,
The Lord of the Rings: Adventure Card Game,Xbox / PC,Yes,Removed,Nov 2019,Oct 2020,11.87,Aug 2018,1.19,60,10,Card Game,,,,,
Lego Star Wars III: The Clone Wars,Xbox,,Removed,Oct 2019,Oct 2020,12.03,Mar 2011,8.62,75,9,Action / Platformer,,,,,
Afterparty,Xbox,Yes,Removed,Oct 2019,Oct 2020,12.10,Oct 2019,0.00,73,6,Adventure,,,,,
The Red Strings Club,PC,,Removed,Sep 2019,Oct 2020,13.15,Jan 2018,1.68,80,4,Adventure,,,,,
Rise & Shine,Xbox,Yes,Removed,Nov 2018,Oct 2020,24.00,May 2017,1.49,66,3,MMORPG,,,,,
State of Mind,PC,,Removed,Oct 2019,Oct 2020,11.74,Aug 2018,1.19,69,10,Adventure,,,,,
Tacoma,PC,Yes,Removed,May 2019,Oct 2020,17.79,Aug 2017,1.77,79,3,Adventure,,,,"Sexual Themes, Strong Language",
Minit,Xbox / PC,Yes,Removed,Oct 2019,Oct 2020,11.80,Apr 2018,1.55,74,2,Action-Adventure,,,,,
Felix the Reaper,Xbox / PC,Yes,Removed,Oct 2019,Oct 2020,11.97,Oct 2019,0.00,69,5,Puzzle,,,,,
Metro 2033 Redux,Xbox / PC,Yes,Removed,Oct 2018,Oct 2020,24.49,Aug 2014,4.10,84,9,Compilation / First-Person Shooter,FPS Boost,,,,
Saints Row IV: Re-Elected,PC,,Removed,Jun 2017,Oct 2020,40.50,Aug 2013,3.78,73,15,Shooter / Action-Adventure,,,,,
Panzer Dragoon Orta,Xbox,,Removed,Oct 2019,Sep 2020,12.00,Jan 2003,16.72,90,4,Action / Shooter,,,,,OG Xbox
Bad North: Jotunn Edition,Xbox / PC,,Removed,Sep 2019,Sep 2020,12.16,Aug 2018,1.10,65,6,Real-Time Strategy,,,,,
Westerado: Double Barreled,Xbox,,Removed,Oct 2018,Sep 2020,24.00,Apr 2015,3.46,80,3,Action-Adventure,,,,,
Rocket League,Xbox,,Removed,Jul 2018,Sep 2020,26.43,Jul 2015,3.01,87,4,Driving/Racing / Vehicular Combat / Soccer,,,,,
NBA 2K20,Xbox,,Removed,Mar 2020,Sep 2020,6.38,Sep 2019,0.50,80,53,Sports / Basketball,,,,,
Jump Force,Xbox,,Removed,Sep 2019,Sep 2020,11.90,Feb 2019,0.60,61,13,Fighting,,,,,
GoNNER: Blueberry Edition,Xbox / PC,,Removed,Sep 2019,Sep 2020,12.13,Feb 2018,1.54,60,8,Simulation / Music/Rhythm,,,,,
Red Dead Redemption II,Xbox,,Removed,May 2020,Sep 2020,4.04,Oct 2018,1.53,97,48,Action / Action-Adventure,,,,,
The Jackbox Party Pack 3,Xbox,,Removed,Feb 2020,Aug 2020,6.12,Oct 2016,3.36,80,3,Trivia/Board Game / Minigame Collection,,,,,
Creature in the Well,Xbox / PC,,Removed,Sep 2019,Aug 2020,11.84,Sep 2019,0.00,78,4,Pinball / Action-Adventure,,,,,
Metal Gear Solid HD Edition: 2 & 3,Xbox,,Removed,Sep 2019,Aug 2020,11.87,Nov 2011,7.83,90,54,Action-Adventure,,,,,
Giana Sisters: Twisted Dreams - Director's Cut,Xbox,,Removed,Sep 2018,Aug 2020,24.00,Oct 2012,5.86,80,7,Platformer,,,,,
Kingdom Come: Deliverance,Xbox / PC,,Removed,Aug 2019,Aug 2020,11.87,Feb 2018,1.52,68,40,Action / Role-Playing,,,,,
Devil May Cry 5,Xbox,,Removed,Aug 2019,Aug 2020,12.23,Mar 2019,0.45,87,11,Action,,,,,
Space Hulk: Tactics,PC,,Removed,Aug 2019,Aug 2020,12.23,Oct 2018,0.83,73,21,Strategy,,,,,
Where The Water Tastes Like Wine,PC,,Removed,Aug 2019,Aug 2020,12.23,Feb 2018,1.44,74,18,Adventure,,,,,
F1 2018,Xbox / PC,,Removed,Mar 2019,Aug 2020,16.64,Aug 2018,0.55,84,26,Driving/Racing,,,,,
Ashes Cricket,Xbox,,Removed,Aug 2019,Jul 2020,12.00,Dec 2017,1.62,79,23,Sports,,,,,
The Banner Saga 3,Xbox / PC,,Removed,Jul 2019,Jul 2020,12.46,Jul 2018,0.98,88,9,Strategy,,,,,
RiME,Xbox / PC,,Removed,Feb 2018,Jul 2020,29.95,May 2017,0.69,82,6,Adventure / Puzzle / Platformer,,,,,
Blazing Chrome,Xbox / PC,,Removed,Jul 2019,Jul 2020,12.16,Jul 2019,0.00,82,2,Action,,,,,
Dead Rising 4,Xbox / PC,,Removed,Jul 2019,Jul 2020,12.16,Dec 2016,2.59,72,11,Action-Adventure,,,,,
Metal Gear Solid V: The Phantom Pain,Xbox,,Removed,Jul 2019,Jul 2020,11.93,Sep 2015,3.88,95,46,Shooter / Action-Adventure,,,,,
Timespinner,Xbox / PC,,Removed,Jul 2019,Jul 2020,12.16,Sep 2018,0.79,74,6,Platformer / Action-Adventure,,,,,
Unavowed,PC,,Removed,Jul 2019,Jul 2020,12.16,Aug 2018,0.92,87,9,Action / Role-Playing,,,,,
Battlefleet Gothic: Armada,PC,,Removed,Jun 2019,Jun 2020,12.72,Apr 2016,3.13,77,20,Strategy / Real-Time Strategy,,,,,
ACA NeoGeo Metal Slug X,Xbox / PC,,Removed,Jun 2019,Jun 2020,12.72,Mar 1999,20.24,61,1,Shooter,,,,,"Arcade, Neo Geo"
Metro Exodus,Xbox / PC,,Removed,Jun 2019,Jun 2020,12.72,Feb 2019,0.31,82,14,First-Person Shooter,,,,,
Neon Chrome,Xbox / PC,,Removed,Jun 2019,Jun 2020,12.72,Apr 2016,3.12,72,5,Action / Shooter / Dual-Joystick Shooter,,,,,
Shadow Tactics: Blades of the Shogun,Xbox,,Removed,Jun 2019,Jun 2020,12.72,Dec 2016,2.51,85,25,Strategy / Real-Time Strategy,,,,,
SteamWorld Dig 2,Xbox / PC,,Removed,Jun 2019,Jun 2020,12.72,Sep 2017,1.72,85,7,Platformer / Action-Adventure,,,,,
Life is Strange 2,Xbox,,Removed,Jan 2019,Jun 2020,17.88,Sep 2018,0.27,75,16,Adventure,FPS Boost X Only,,,,Does not FPS boost on Series S
Die for Valhalla!,PC,,Removed,May 2018,Jun 2020,25.08,May 2018,0.00,70,7,Brawler / Action-Adventure,,,,,
The Flame in the Flood,Xbox / PC,,Removed,Jul 2017,Jun 2020,36.00,Feb 2016,1.35,74,9,Adventure,,,,,
Book of Demons,PC,,Removed,Jun 2019,Jun 2020,12.23,Dec 2018,0.49,73,10,Action / Role-Playing,,,,,
Everspace,Xbox / PC,,Removed,Jun 2019,Jun 2020,12.23,Sep 2016,2.73,84,18,Action / Shooter,,,,,
Resident Evil: Revelations,Xbox,,Removed,Jun 2019,Jun 2020,11.87,Jan 2012,7.40,78,9,Shooter / Action-Adventure,,,,,
Riverbond,Xbox / PC,,Removed,Jun 2019,Jun 2020,12.23,Jun 2019,0.00,67,5,Action-Adventure,,,,,
Samorost 3,PC,,Removed,Jun 2019,Jun 2020,12.23,Mar 2016,3.21,80,5,Adventure,,,,,
Supermarket Shriek,Xbox / PC,,Removed,Jun 2019,Jun 2020,12.23,Jun 2019,0.00,76,7,Driving/Racing,,,,,
The Last Door: Season 2 - Collector's Edition,PC,,Removed,Jun 2019,Jun 2020,12.23,Mar 2016,3.20,85,6,Adventure,,,,,
The Stillness of the Wind,PC,,Removed,Jun 2019,Jun 2020,12.23,Feb 2019,0.33,76,4,Adventure,,,,,
Riptide GP: Renegade,Xbox / PC,,Removed,Feb 2018,Jun 2020,28.44,Jul 2016,1.52,75,6,Driving/Racing,,,,,
Old Man's Journey,Xbox / PC,,Removed,Jun 2019,May 2020,11.74,May 2017,2.06,76,2,Adventure / Puzzle,,,,,
Opus Magnum,PC,,Removed,Jun 2019,May 2020,11.74,Dec 2017,1.50,90,15,Puzzle,,,,,
Hydro Thunder: Hurricane,Xbox / PC,,Removed,Jun 2018,May 2020,24.00,Jul 2010,7.85,75,6,Driving/Racing,,,,,
#IDARB,Xbox,,Removed,Jun 2017,May 2020,36.00,Jan 2015,2.42,77,3,Adventure,,,,,
Brothers: A Tale of Two Sons,Xbox / PC,,Removed,Jun 2017,May 2020,36.00,Aug 2013,3.82,81,3,Adventure / Puzzle,,,,,
The King of Fighters '98 Ultimate Match (KOF98UM),Xbox,,Removed,Jun 2017,May 2020,36.00,Mar 2008,9.21,73,1,Action / Fighting,,,,,"Arcade, Neo Geo"
The Lego Ninjago Movie Video Game,Xbox,,Removed,Nov 2019,May 2020,6.02,Sep 2017,2.15,76,6,Action / Action-Adventure,,,,,
